Workout Number,Workout,Description,Button Sequence,Type
29,5000m with rate changes every 1000m: 26-24-22-24-26,"Row for a total of 5000 meters at a sustainable intensity, varying your stroke rate as follows: row 1000 meters @ 26 spm, 1000 meters @ 24 spm, 1000 meters @ 22 spm, 1000 meters @ 24 spm, and 1000 meters @ 26 spm.",B-A-B  ,Short
30,6 x 20 sec high intensity intervals,"Set your monitor for a time intervals of 20 seconds with no rest. Row 20 seconds at an intense pace, then 20 seconds at a moderate pace. Do this 5 more times for a total workout time of 4 minutes.",B-D-D-B-A-B-B-D-C-E  ,Short
31,5 x 3 min / 2 min easy,Row five 3 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-A-A-A-A-B-B-E  ,Short
32,3 x 1000m / 2 min easy,Row three 1000 meter pieces. Row for two minutes at light pressure between each 1000.,B-D-D-A-D-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Short
33,2 x 10 min short intervals,Pre-set the monitor for a work time of 10:00 and a rest time of 4:00. Each interval alternate between 40 seconds fast rowing and 20 seconds easy rowing. During the rest time continue rowing at light pressure.,B-D-D-B-D-B-A-C-A-A-A-A-B-B-B-B-E  ,Short
34,7 x 1min @ 26 spm / 30 sec easy,Row seven 1 minute pieces at a stroke rate of 26. Row for 30 seconds at light pressure between each piece.,B-D-D-B-A-A-A-A-A-B-B-B-E  ,Short
35,2 x 2000m @ 26 spm plus bursts / 4 min easy,Row two 2000 meter pieces @ 26 spm with 10 strokes hard every 500m. Row for four minutes at light pressure during the rest period.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Short
36,5000m with rate changes every 1000m: 22-24-26-28-24,"Row for a total of 5000 meters at a sustainable intensity, varying your stroke rate as follows: row 1000 meters @ 22 spm, 1000 meters @ 24 spm, 1000 meters @ 26 spm, 1000 meters @ 28 spm, and 1000 meters @ 24 spm.",B-A-B  ,Short
37,4 x 750m / 2 min easy,Row four 750 meter pieces. Row for two minutes at light pressure between each 750.,B-D-D-A-B-B-A-B-B-B-B-B-A-A-A-B-B-E  ,Short
38,4 x 500m / 2 min easy,Row four 500 meter pieces. Row for two minutes at light pressure between each 500.,B-D-D-A-A-A-A-A-B-B-E  ,Short
39,1000 meter time trial,"Row a 1000 meter time trial, going for your personal best. After you've rowed, enter your time in the Online Ranking and see where you stand with others of your age, gender and weight class.",B-D-A-C-E  ,Short
40,2 x 2000m rate increase / 4 min easy,"Row two 2000 meter pieces. In each piece, row the first 1000 meters @ 26 spm. Then 500 meters @ 28 spm, 250 meters @ 30 spm and 250 meters @ 32 spm. Row for four minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Short
41,"1 min, 2 min, 3 min, 4 min, 3 min, 2 min, 1 min pyramid / 1 min easy","Row five intervals in a pyramid of 1-2-3-4-3-2-1 minutes, with one minute of rest in between each piece.",B-D-D-D-D-A-A-A-A-B-E-D-B-E-D-B-E-D-B-E-D-C-E-D-C-E-D-C-E-E  ,Short
42,5 x 3 min / 1 min easy,Row five 3 minute pieces. Row for one minute at light pressure between each piece.,B-D-D-B-B-B-A-A-A-A-B-E  ,Short
43,7 x 1min @ 26 spm / 30 sec easy,Row seven 1 minute pieces at a stroke rate of 26. Row for 30 seconds at light pressure between each piece.,B-D-D-B-A-A-A-A-A-B-B-B-E  ,Short
44,6 x 2 min / 1 min easy,Row six 2 minute pieces. Row for one minute at light pressure between each piece.,B-D-D-B-B-A-A-A-A-B-E  ,Short
45,3 x 750m / 1 min easy,Row three 750 meter pieces. Row for one minute at light pressure between each 750.,B-D-D-A-B-B-A-B-B-B-B-B-A-A-A-B-E  ,Short
46,5000m with rate changes every 1000m: 22-24-26-28-24,"Row for a total of 5000 meters at a sustainable intensity, varying your stroke rate as follows: row 1000 meters @ 22 spm, 1000 meters @ 24 spm, 1000 meters @ 26 spm, 1000 meters @ 28 spm, and 1000 meters @ 24 spm.",B-A-B  ,Short
47,5 x 750m / 2 min easy,Row five 750 meter pieces. Row for two minutes at light pressure between each 750.,B-D-D-A-B-B-A-B-B-B-B-B-A-A-A-B-B-E  ,Short
48,5000m with rate changes every 1000m: 26-24-22-24-26,"Row for a total of 5000 meters at a sustainable intensity, varying your stroke rate as follows: row 1000 meters @ 26 spm, 1000 meters @ 24 spm, 1000 meters @ 22 spm, 1000 meters @ 24 spm, and 1000 meters @ 26 spm.",B-A-B  ,Short
49,4 x 3 min / 1 min easy,Row four 3 minute pieces. Row for one minute at light pressure between each piece.,B-D-D-B-B-B-A-A-A-A-B-E  ,Short
50,2 x 2000m @ 26 spm plus bursts / 4 min easy,Row two 2000 meter pieces @ 26 spm with 10 strokes hard every 500m. Row for four minutes at light pressure during the rest period.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Short
51,High Intensity Interval Pyramid starting at 500 meters,"Set your monitor for a variable interval workout as follows, with no rest between intervals: 500m, 500m, 400m, 400m, 300m, 300m, 200m, 200m, 100m, 100m, 200m, 200m, 300m, 300m, 400m, 400m, 500m, 500m. Row the first 500m at a moderate pace, then 500m at an intense pace, then 400m moderate, then 400m intense, and so on down to 100 meters, then work your way back up to 500 meters in the same manner.",B-D-D-D-C-E-C-E-C-C-E-C-E-C-C-E-C-E-C-C-E-C-E-C-C-E-C-E-C-B-E-C-E-C-B-E-C-E-C-B-E-C-E-C-B-E-C-E-E  ,Short
52,5 x 4 min / 1 min easy,Row five 4 minute pieces. Row for one minute at light pressure between each piece.,B-D-D-B-B-B-B-A-A-A-A-B-E  ,Short
53,2 x 2000m rate increase / 4 min easy,"Row two 2000 meter pieces. In each piece the first 1000m @ 24 spm. Then 500m @ 26 spm, 250m @ 28 and 250m @ 30. Row for four minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Short
54,6 x 500m / 2 min easy,Row six 500 meter pieces. Row for two minutes at light pressure between each 500.,B-D-D-A-A-A-A-A-B-B-E  ,Short
55,5000m with rate changes every 1000m: 22-24-26-24-22,"Row for a total of 5000 meters at a sustainable intensity, varying your stroke rate as follows: row 1000 meters @ 22 spm, 1000 meters @ 24 spm, 1000 meters @ 26 spm, 1000 meters @ 24 spm, and 1000 meters @ 22 spm.",B-A-B  ,Short
56,5000m with rate changes every 1000m: 25-22-25-28-25,"Row a 5000 meter piece at a sustainable intensity, varying your stroke rate as follows: row 1000 meters @ 25 spm, 1000 meters @ 22 spm, 1000 meters @ 25 spm, 1000 meters @ 28 spm, and 1000 meters @ 25 spm.",B-A-B  ,Short
57,6 x 2 min / 1 min easy,Row six 2 minute pieces. Row for one minute at light pressure between each piece.,B-D-D-B-B-A-A-A-A-B-E  ,Short
58,4 x 3 min / 2 min easy,Row four 3 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-A-A-A-A-B-B-E  ,Short
59,3 x 1000m / 2 min easy,Row three 1000 meter pieces. Row for two minutes at light pressure between each 1000.,B-D-D-A-D-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Short
60,2 x 2000m @ 26 spm / 4 min easy,Row two 2000 meter pieces @ 26 spm. Row for four minutes at light pressure during the rest period.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Short
61,12 x 250m / 45 sec easy,"Pre-set a work distance of 250 meters and a rest time of 45 seconds. Row 12 intervals at a challenging intensity, with light rowing between pieces.",B-D-D-A-C-C-C-A-B-B-B-B-B-A-A-A-A-B-B-B-B-A-B-B-B-B-B-E  ,Short
62,15 minutes with rate increase,"Row a single 15 minute piece. The first five minutes @ 20 spm. Then four minutes @ 22 spm, three @ 24, two @ 26 and one @ 28.",B-D-B-C-C-A-B-B-B-B-B-E  ,Short
63,High Intensity Interval Pyramid starting at 250 meters,"Set your monitor for a variable interval workout as follows, with no rest between intervals: 250m, 250m, 200m, 200m, 150m, 150m, 100m, 100m, 150m, 150m, 200m, 200m, 250m, 250m. Row the first 250m at a moderate pace, then 250m at an intense pace, then 200m moderate, then 200m intense, and so on down to 100 meters, then work your way back up to 250 meters in the same manner.",B-D-D-D-C-C-C-C-A-B-B-B-B-B-E-C-E-C-A-C-C-C-C-C-E-C-E-C-C-A-B-B-B-B-B-E-C-E-C-A-C-C-C-C-C-E-C-E-C-A-B-B-B-B-B-E-C-E-C-B-A-C-C-C-C-C-E-C-E-C-A-B-B-B-B-B-E-C-E-E  ,Short
64,5 x 500m / 2 min easy,Row five 500 meter pieces. Row for two minutes at light pressure between each 500.,B-D-D-A-A-A-A-A-B-B-E  ,Short
65,20 x 20 sec / 40 sec easy,"Row twenty 20 second all-out bursts with 40 seconds of light rowing in between. If you have a lot of rowing experience, you may want to row these pieces at a slightly higher damper setting to add more of a strength-building component to the workout.",B-D-D-B-A-B-B-D-C-A-A-A-A-A-B-B-B-B-E  ,Short
66,9 x  1 min 40 sec / 20 sec easy with a longer 2 min rest at the halfway point.,"Row nine intervals of 1 minute 40 seconds, with 20 seconds of rest in between each piece with the exception of 2 minutes of rest after the fifth interval.",B-D-D-D-D-A-B-B-B-B-A-A-A-A-B-B-E-D-E-D-E-D-E-D-A-A-A-A-B-B-A-C-C-E-D-A-A-A-A-A-B-B-D-C-C-E-D-E-D-E-D-E-E  ,Short
67,4 x 750m / 1 min easy,Row four 750 meter pieces. Row for one minute at light pressure between each 750.,B-D-D-A-B-B-A-B-B-B-B-B-A-A-A-B-E  ,Short
68,20 x 20 sec / 40 sec easy,"Row twenty 20 second all-out bursts with 40 seconds of light rowing in between. If you have a lot of rowing experience, you may want to row these pieces at a slightly higher damper setting to add more of a strength-building component to the workout.",B-D-D-B-A-B-B-D-C-A-A-A-A-A-B-B-B-B-E  ,Short
69,4 x 1000m / 1 min easy,Row four 1000 meter pieces. Row for one minute at light pressure between each 1000.,B-D-D-A-D-B-A-C-C-C-C-C-A-A-A-A-B-E  ,Short
70,5000m time trial,"This is one of the monitor's preset standard workouts. Row a 5000 meter time trial, going for your personal best. After you've rowed, enter your result in the Online Ranking and see where you stand with others of your age, gender and weight class.",B-A-B  ,Short
71,12 x 250m / 250m easy,Row 12 hard 250 meter pieces. Row for 250 meters at light pressure between each piece.,B-D-A-B-B-B-B-E  ,Short
72,3 x 5 min / 3 min easy,Row three 5 minute pieces. Row for three minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-A-A-A-A-B-B-B-E  ,Short
73,4 x 1000m / 1 min easy,Row four 1000 meter pieces. Row for one minute at light pressure between each 1000.,B-D-D-A-D-B-A-C-C-C-C-C-A-A-A-A-B-E  ,Short
74,5000m with rate changes every 1000m: 22-24-26-24-22,"Row for a total of 5000 meters at a sustainable intensity, varying your stroke rate as follows: row 1000 meters @ 22 spm, 1000 meters @ 24 spm, 1000 meters @ 26 spm, 1000 meters @ 24 spm, and 1000 meters @ 22 spm.",B-A-B  ,Short
75,8 x 500m / 1 min easy,Row eight 500 meter pieces. Row for one minute at light pressure between each 500.,B-A-E  ,Short
76,5000m with rate changes every 1000m: 25-22-25-28-25,"Row a 5000 meter piece at a sustainable intensity, varying your stroke rate as follows: row 1000 meters @ 25 spm, 1000 meters @ 22 spm, 1000 meters @ 25 spm, 1000 meters @ 28 spm, and 1000 meters @ 25 spm.",B-A-B  ,Short
77,20 x 30 sec / 30 sec easy,"Row twenty 30 second all-out bursts with 30 seconds of light rowing in between. If you have a lot of rowing experience, you may want to row these pieces at a slightly higher damper setting to add more of a strength-building component to the workout.",B-D-D-B-A-B-B-B-D-C-A-A-A-A-A-B-B-B-E  ,Short
78,"2 min, 3 min, 4 min, 3 min, 2 min pyramid / 2 min easy","Pre-set the monitor for 22 minutes. Row five intervals in a pyramid of 2-3-4-3-2 minutes, with two minutes of rest in between each piece.",B-D-D-D-D-B-A-A-A-A-B-B-E-D-B-E-D-B-E-D-C-E-D-C-E-E  ,Short
79,2 x 10 min short intervals,Pre-set the monitor for a work time of 10:00 and a rest time of 4:00. Each interval alternate between 40 seconds fast rowing and 20 seconds easy rowing. During the rest time continue rowing at light pressure.,B-D-D-B-D-B-A-C-A-A-A-A-B-B-B-B-E  ,Short
80,2 x 10 min short intervals,Pre-set the monitor for a work time of 10:00 and a rest time of 4:00. Each interval alternate between 40 seconds fast rowing and 20 seconds easy rowing. During the rest time continue rowing at light pressure.,B-D-D-B-D-B-A-C-A-A-A-A-B-B-B-B-E  ,Short
81,2 x 2000m rate increase / 4 min easy,"Row two 2000 meter pieces. In each piece, row the first 1000 meters @ 26 spm. Then 500 meters @ 28 spm, 250 meters @ 30 spm and 250 meters @ 32 spm. Row for four minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Short
82,5000m with rate changes every 1000m: 22-26-22-26-22,"Row for a total of 5000 meters at a sustainable intensity, varying your stroke rate as follows: row 1000 meters @ 22 spm, 1000 meters @ 26 spm, 1000 meters @ 22 spm, 1000 meters @ 26 spm, and 1000 meters @ 22 spm.",B-A-B  ,Short
83,8 x 2 min @ 28 spm / 1 min easy,Row eight 2 minute pieces at a stroke rate of 28. Row for one minute at light pressure between each piece.,B-D-D-B-B-A-A-A-A-B-E  ,Short
84,5 x 1000m / 1 min easy,Row five 1000 meter pieces. Row for one minute at light pressure between each 1000.,B-D-D-A-D-B-A-C-C-C-C-C-A-A-A-A-B-E  ,Short
85,5000m time trial,"This is one of the monitor's preset standard workouts. Row a 5000 meter time trial, going for your personal best. After you've rowed, enter your result in the Online Ranking and see where you stand with others of your age, gender and weight class.",B-A-B  ,Short
86,5000m with rate changes every 1000m: 26-24-22-24-26,"Row for a total of 5000 meters at a sustainable intensity, varying your stroke rate as follows: row 1000 meters @ 26 spm, 1000 meters @ 24 spm, 1000 meters @ 22 spm, 1000 meters @ 24 spm, and 1000 meters @ 26 spm.",B-A-B  ,Short
87,5 x 4 min / 1 min easy,Row five 4 minute pieces. Row for one minute at light pressure between each piece.,B-D-D-B-B-B-B-A-A-A-A-B-E  ,Short
88,5000m with rate changes every 1000m: 22-26-22-26-22,"Row for a total of 5000 meters at a sustainable intensity, varying your stroke rate as follows: row 1000 meters @ 22 spm, 1000 meters @ 26 spm, 1000 meters @ 22 spm, 1000 meters @ 26 spm, and 1000 meters @ 22 spm.",B-A-B  ,Short
89,5 x 1000m / 1 min easy,Row five 1000 meter pieces. Row for one minute at light pressure between each 1000.,B-D-D-A-D-B-A-C-C-C-C-C-A-A-A-A-B-E  ,Short
90,7 x 1min @ 26 spm / 30 sec easy,Row seven 1 minute pieces at a stroke rate of 26. Row for 30 seconds at light pressure between each piece.,B-D-D-B-A-A-A-A-A-B-B-B-E  ,Short
91,5000m with rate changes every 1000m: 22-26-22-26-22,"Row for a total of 5000 meters at a sustainable intensity, varying your stroke rate as follows: row 1000 meters @ 22 spm, 1000 meters @ 26 spm, 1000 meters @ 22 spm, 1000 meters @ 26 spm, and 1000 meters @ 22 spm.",B-A-B  ,Short
92,5000m time trial,"This is one of the monitor's preset standard workouts. Row a 5000 meter time trial, going for your personal best. After you've rowed, enter your result in the Online Ranking and see where you stand with others of your age, gender and weight class.",B-A-B  ,Short
93,2 x 10 min short intervals,Pre-set the monitor for a work time of 10:00 and a rest time of 4:00. Each interval alternate between 40 seconds fast rowing and 20 seconds easy rowing. During the rest time continue rowing at light pressure.,B-D-D-B-D-B-A-C-A-A-A-A-B-B-B-B-E  ,Short
94,5 x 1000m / 1 min easy,Row five 1000 meter pieces. Row for one minute at light pressure between each 1000.,B-D-D-A-D-B-A-C-C-C-C-C-A-A-A-A-B-E  ,Short
95,5 x 3 min / 2 min easy,Row five 3 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-A-A-A-A-B-B-E  ,Short
96,2000 meter time trial,"Row a 2000 meter time trial, going for your personal best. After you've rowed, enter your time in the Online Ranking and see where you stand with others of your age, gender and weight class.",B-A-A  ,Short
97,1000 meter time trial,"Row a 1000 meter time trial, going for your personal best. After you've rowed, enter your time in the Online Ranking and see where you stand with others of your age, gender and weight class.",B-D-A-C-E  ,Short
98,4 x 3 min / 2 min easy,Row four 3 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-A-A-A-A-B-B-E  ,Short
99,5000m with rate changes every 1000m: 28-24-20-24-28,"Row for a total of 5000 meters at a sustainable intensity, varying your stroke rate as follows: row 1000 meters @ 28 spm, 1000 meters @ 24 spm, 1000 meters @ 20 spm, 1000 meters @ 24 spm, and 1000 meters @ 28 spm.",B-A-B  ,Short
100,4 x 3 min / 1 min easy,Row four 3 minute pieces. Row for one minute at light pressure between each piece.,B-D-D-B-B-B-A-A-A-A-B-E  ,Short
101,3 x 750m / 1 min easy,Row three 750 meter pieces. Row for one minute at light pressure between each 750.,B-D-D-A-B-B-A-B-B-B-B-B-A-A-A-B-E  ,Short
102,20 minutes with bursts,"Row a single 20 minute piece at a consistent pace. Every four minutes, row ten strokes hard and then return to your previous pace.",B-D-B-C-E  ,Short
103,3 x 3 min / 2 min easy,Row three 3 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-A-A-A-A-B-B-E  ,Short
104,4 x 3 min / 1 min easy,Row four 3 minute pieces. Row for one minute at light pressure between each piece.,B-D-D-B-B-B-A-A-A-A-B-E  ,Short
105,2 x 2000m @ 26 spm / 4 min easy,Row two 2000 meter pieces @ 26 spm. Row for four minutes at light pressure during the rest period.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Short
106,"2 min, 3 min, 4 min, 3 min, 2 min pyramid / 2 min easy","Pre-set the monitor for 22 minutes. Row five intervals in a pyramid of 2-3-4-3-2 minutes, with two minutes of rest in between each piece.",B-D-D-D-D-B-A-A-A-A-B-B-E-D-B-E-D-B-E-D-C-E-D-C-E-E  ,Short
107,20 minutes with bursts,"Row a single 20 minute piece at a consistent pace. Every four minutes, row ten strokes hard and then return to your previous pace.",B-D-B-C-E  ,Short
108,5 x 1500m / 1 min easy,Row five 1500 meter pieces. Row for one minute at light pressure between each piece.,B-D-D-A-D-B-A-A-A-A-A-B-E  ,Medium
109,4 x 6 min / 2 min easy,Row four 6 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
110,40 minutes,Row a single 40 minute piece. Aim for a consistent pace throughout.,B-D-B-B-E  ,Medium
111,3 x 6 min / 4 min easy,Row three 6 minute pieces. Row for four minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-A-A-A-A-B-B-B-B-E  ,Medium
112,5 x 5 min / 2 min easy,Row five 5 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
113,4 x 8 min / 2 min easy,Row four 8 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
114,2-3-4-5-4-3-2 min pyramid / 2 min easy,"Pre-set the monitor for 35 minutes. Row seven intervals in a pyramid of 2-3-4-5-4-3-2 minutes, with two minutes of rest in between each piece. Two minutes hard, two light, three hard, two light, four hard and so on.",B-D-D-D-D-B-A-A-A-A-B-B-E-D-B-E-D-B-E-D-B-E-D-C-E-D-C-E-D-C-E  ,Medium
115,40 minutes,Row a single 40 minute piece. Aim for a consistent pace throughout.,B-D-B-B-E  ,Medium
116,6 x 4 min / 2 min easy,Row six 4 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-A-A-A-A-B-B-E  ,Medium
117,5 x 5 min / 2 min easy,Row five 5 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-B-B-B-B-A-A-A-A-B-B-E  ,Medium
118,8 x 1000m / 1 min easy,Row eight 1000 meter pieces. Row for one minute at light pressure between each 1000.,B-D-D-A-D-B-A-C-C-C-C-C-A-A-A-A-B-E  ,Medium
119,2 x 4000m rate increase / 4 min easy,"Row two 4000 meter pieces. In each piece the first 2000m @ 22 spm. Then 1000m @ 24 spm, 500m @ 26 and 500m @ 28. Row for four minutes at light pressure during the rest period.",B-D-D-A-D-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Medium
120,28 minutes with rate increase,"Row a single 28 minute piece. Row the first seven minutes @ 18 spm. Then six minutes @ 20 spm, five @ 22, four @ 24, three @ 26, two @ 28 and one @ 30.",B-D-B-C-A-B-B-B-B-B-B-B-B-E  ,Medium
